date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:35:02	690/690	---M--	200	added ('OK')	image/png	etag:%225224c95fa64d11:0%22	http://www.penske.com/wp-content/plugins/js_composer/assets/images/icons/blue-document-pdf.png	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/plugins/js_composer/assets/images/icons/blue-document-pdf.png	(from http://www.penske.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.10)
20:35:02	709/709	---M--	200	added ('OK')	image/png	etag:%226d844e95fa64d11:0%22	http://www.penske.com/wp-content/plugins/js_composer/assets/images/icons/blue-document-powerpoint.png	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/plugins/js_composer/assets/images/icons/blue-document-powerpoint.png	(from http://www.penske.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.10)
20:35:02	691/691	---M--	200	added ('OK')	image/png	etag:%226d844e95fa64d11:0%22	http://www.penske.com/wp-content/plugins/js_composer/assets/images/icons/blue-document-word.png	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/plugins/js_composer/assets/images/icons/blue-document-word.png	(from http://www.penske.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.10)
20:35:02	635/635	---M--	200	added ('OK')	image/png	etag:%226d844e95fa64d11:0%22	http://www.penske.com/wp-content/plugins/js_composer/assets/images/icons/bookmark.png	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/plugins/js_composer/assets/images/icons/bookmark.png	(from http://www.penske.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.10)
20:35:03	590/590	---M--	200	added ('OK')	image/png	etag:%226d844e95fa64d11:0%22	http://www.penske.com/wp-content/plugins/js_composer/assets/images/icons/camcorder.png	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/plugins/js_composer/assets/images/icons/camcorder.png	(from http://www.penske.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.10)
20:35:03	635/635	---M--	200	added ('OK')	image/png	etag:%226d844e95fa64d11:0%22	http://www.penske.com/wp-content/plugins/js_composer/assets/images/icons/camera.png	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/plugins/js_composer/assets/images/icons/camera.png	(from http://www.penske.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.10)
20:35:03	659/659	---M--	200	added ('OK')	image/png	etag:%226d844e95fa64d11:0%22	http://www.penske.com/wp-content/plugins/js_composer/assets/images/icons/chart.png	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/plugins/js_composer/assets/images/icons/chart.png	(from http://www.penske.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.10)
20:35:03	1686/1686	---M--	200	added ('OK')	image/png	etag:%226d844e95fa64d11:0%22	http://www.penske.com/wp-content/plugins/js_composer/assets/images/icons/chart-pie.png	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/plugins/js_composer/assets/images/icons/chart-pie.png	(from http://www.penske.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.10)
20:35:03	706/706	---M--	200	added ('OK')	image/png	etag:%226d844e95fa64d11:0%22	http://www.penske.com/wp-content/plugins/js_composer/assets/images/icons/clock.png	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/plugins/js_composer/assets/images/icons/clock.png	(from http://www.penske.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.10)
20:35:04	470/470	---M--	200	added ('OK')	image/png	etag:%226d844e95fa64d11:0%22	http://www.penske.com/wp-content/plugins/js_composer/assets/images/icons/control.png	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/plugins/js_composer/assets/images/icons/control.png	(from http://www.penske.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.10)
20:35:04	606/606	---M--	200	added ('OK')	image/png	etag:%226d844e95fa64d11:0%22	http://www.penske.com/wp-content/plugins/js_composer/assets/images/icons/fire.png	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/plugins/js_composer/assets/images/icons/fire.png	(from http://www.penske.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.10)
20:35:04	792/792	---M--	200	added ('OK')	image/png	etag:%226d844e95fa64d11:0%22	http://www.penske.com/wp-content/plugins/js_composer/assets/images/icons/heart.png	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/plugins/js_composer/assets/images/icons/heart.png	(from http://www.penske.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.10)
20:35:04	505/505	---M--	200	added ('OK')	image/png	etag:%226d844e95fa64d11:0%22	http://www.penske.com/wp-content/plugins/js_composer/assets/images/icons/mail.png	C:/My%20Web%20Sites/penske/www.penske.com/wp-content/plugins/js_composer/assets/images/icons/mail.png	(from http://www.penske.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.10)
